cName,cCity,cCountry,cVersion,cLength,cYearRec,cDrivRec,cLapRec
Nürburgring,Nürburg,Germany,Nordschleife(1927–1966),22.800 km,1965,Jim Clark,504.1
Nürburgring,Nürburg,Germany,Südschleife(1927–1982),7.747 km,NULL,NULL,NULL
Nürburgring,Nürburg,Germany,Gesamtstrecke(1927–1982),28.265 km,NULL,NULL,NULL
Okayama International Circuit,Okayama,Japan,Grand Prix Circuit (1990–present),3.703 km,1994,Michael Schumacher,74.023
Okayama International Circuit,Okayama,Japan,Motorcycle Circuit (2020–present),3.747 km,NULL,NULL,NULL
Circuit de Pedralbes,Barcelona,Spain,Grand Prix Circuit (1954–1955),6.333 km,1954,Alberto Ascari,140.4
Circuit de Pedralbes,Barcelona,Spain,Grand Prix Circuit (1951),6.316 km,1951,Juan Manuel Fangio,136.93
Circuit de Pedralbes,Barcelona,Spain,Grand Prix Circuit (1946–1950),4.465 km,NULL,NULL,NULL
Pescara Circuit,Pescara,Italy,Grand Prix Circuit (1934–1961),25.801 km,1957,Stirling Moss,584.6
Pescara Circuit,Pescara,Italy,Original Road Course (1924–1933),25.578 km,NULL,NULL,NULL
Phoenix street circuit,Phoenix,USA,Grand Prix Circuit (1991),2.312 mi,NULL,NULL,NULL
Phoenix street circuit,Phoenix,USA,Grand Prix Circuit (1989–1990),2.361 mi,NULL,NULL,NULL
